City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Maningrida,92,AU,1551685146,100,-12.05,134.23,76.18,8.57
Tuatapere,88,NZ,1551684608,68,-46.13,167.69,64.99,8.99
Makakilo City,90,US,1551685132,64,21.35,-158.09,71.6,4.7
Qurbus,0,TN,1551682800,71,36.82,10.57,50.0,6.93
Samarai,56,PG,1551685147,100,-10.62,150.67,82.39,8.34
Zhangjiakou,88,CN,1551685148,75,40.77,114.88,43.1,2.53
Adrar,0,DZ,1551682800,23,27.87,-0.29,51.8,6.93
Erenhot,12,CN,1551685148,16,43.65,111.97,47.38,9.31
Bambous Virieux,75,MU,1551685146,70,-20.34,57.76,86.0,9.17
Coahuayana,0,MX,1551685149,76,18.62,-100.35,59.66,2.08
Fort Nelson,5,CA,1551682800,83,58.81,-122.69,-5.81,4.7
Mayo,5,CA,1551682800,83,63.59,-135.9,-13.01,2.53
Kayerkan,88,RU,1551685150,81,69.35,87.76,18.8,19.82
Airai,64,TL,1551685150,83,-8.93,125.41,75.91,1.86
Aragats,90,AM,1551682800,80,40.22,44.23,35.6,2.24
Alexandria,90,US,1551685020,65,31.31,-92.44,42.8,11.41
Kawalu,80,ID,1551685151,79,-7.38,108.21,77.62,1.86
Hostotipaquillo,0,MX,1551685035,70,21.06,-104.05,57.99,1.81
Baruun-Urt,48,MN,1551685152,29,46.68,113.28,39.68,10.76
Tobermory,0,CA,1551684738,83,45.25,-81.67,-8.0,10.42
Charters Towers,64,AU,1551684702,78,-20.07,146.27,75.77,8.55
Neiafu,75,TO,1551679200,83,-18.65,-173.98,80.6,5.82
Sitka,24,US,1551684668,86,37.17,-99.65,5.0,4.0
Bocana de Paiwas,56,NI,1551685153,90,12.79,-85.12,68.44,4.72
San Pedro,92,AR,1551685136,98,-33.68,-59.66,62.01,5.99
Shirokiy,92,RU,1551685146,52,53.87,39.17,37.0,4.0
Lompoc,90,US,1551684853,87,34.64,-120.46,53.6,4.7
Fairbanks,1,US,1551684815,84,64.84,-147.72,8.6,4.72
Pacific Grove,90,US,1551684918,81,36.62,-121.92,54.0,5.82
Ponta Delgada,75,PT,1551685153,77,37.73,-25.67,59.0,11.41
Saldanha,8,PT,1551685156,85,41.42,-6.55,46.7,8.86
La Paz,24,MX,1551684702,75,24.15,-110.32,51.01,2.53
Bubaque,0,GW,1551685157,90,11.28,-15.83,77.08,18.41
Ponta do Sol,92,BR,1551685217,97,-20.63,-46.0,63.58,2.53
Lata,76,IN,1551685218,100,30.78,78.62,42.43,0.85
Rio Gallegos,0,AR,1551682800,80,-51.62,-69.22,41.0,8.05
Sur,0,OM,1551684641,95,22.57,59.53,71.36,13.47
Los Llanos de Aridane,40,ES,1551682800,59,28.66,-17.92,62.6,9.17
Igarka,88,RU,1551685219,88,67.47,86.57,23.44,20.09
Atar,0,MR,1551685219,23,20.52,-13.05,60.74,5.21
Karratha,20,AU,1551685082,34,-20.74,116.85,97.28,6.62
Geraldton,5,CA,1551682800,68,49.72,-86.95,-20.21,5.82
Tura,0,IN,1551685220,56,25.52,90.21,75.05,7.4
Tuktoyaktuk,48,CA,1551685220,91,69.44,-133.03,14.62,11.1
Marawi,12,PH,1551684659,75,8.0,124.29,81.0,8.01
Parana,90,BR,1551681900,100,-7.52,-72.89,75.2,2.53
Waingapu,48,ID,1551685221,96,-9.65,120.26,79.69,2.08
Tazovskiy,68,RU,1551684992,88,67.47,78.7,23.48,13.04
Georgetown,90,GY,1551682800,94,6.8,-58.16,73.4,6.93
Qianan,0,CN,1551685223,30,44.99,124.06,44.68,3.04
Nanortalik,88,GL,1551685223,100,60.14,-45.24,26.54,5.55
Chico,75,US,1551684940,81,39.73,-121.84,53.6,11.41
Asmar,0,AF,1551685224,78,35.03,71.36,52.73,2.37
Longyearbyen,40,NO,1551684000,76,78.22,15.63,-5.81,11.41
Erzin,75,TR,1551685187,93,36.95,36.2,55.99,3.53
Kysyl-Syr,24,RU,1551685225,72,63.9,122.77,5.89,5.1
Puerto del Rosario,40,ES,1551682800,67,28.5,-13.86,62.6,19.46
Deputatskiy,0,RU,1551685225,75,69.3,139.9,-26.34,2.37
Labuhan,36,ID,1551684715,83,-2.54,115.51,82.21,2.95
Santiago del Estero,0,AR,1551685226,63,-27.8,-64.26,81.31,15.17
Beringovskiy,80,RU,1551685226,92,63.05,179.32,32.3,23.22
Vestmannaeyjar,90,IS,1551682800,69,63.44,-20.27,37.4,13.87
Torbay,90,CA,1551684499,92,47.66,-52.73,21.99,12.75
Saint-Joseph,90,FR,1551685083,87,43.56,6.97,54.0,4.7
Fallon,1,US,1551682560,69,46.84,-105.12,-9.41,25.28
Goure,0,NE,1551685228,19,13.98,10.27,85.72,14.05
Tuy Hoa,0,VN,1551685043,69,13.08,109.3,82.12,12.66
Olbernhau,0,CZ,1551685210,65,50.66,13.35,55.0,3.36
Gubkinskiy,64,RU,1551685229,88,64.43,76.5,24.2,18.86
Sehithwa,0,BW,1551685229,26,-20.47,22.7,97.96,10.8
Troitsko-Pechorsk,64,RU,1551685229,58,62.71,56.19,7.64,5.28
Vata de Jos,24,RO,1551685230,66,46.18,22.6,46.21,3.09
Shimoda,75,JP,1551685212,76,34.7,138.93,55.4,20.8
Gazalkent,75,UZ,1551682800,58,41.57,69.78,53.6,4.7
Iracoubo,44,GF,1551685230,71,5.48,-53.21,76.49,7.29
Guapo,92,CN,1551685231,61,34.48,109.71,50.21,2.53
Lebanon,90,US,1551685031,86,43.64,-72.25,30.99,3.36
Bhor,0,IN,1551685232,34,18.15,73.84,86.53,6.85
Jinxiang,88,CN,1551685232,60,35.07,116.31,59.98,8.01
Atyrau,75,KZ,1551682800,74,47.1,51.92,37.4,24.61
Payo,48,ID,1551685233,80,-3.75,103.64,85.13,5.61
Awbari,0,LY,1551685233,46,26.59,12.77,65.15,4.5
Boralday,90,KZ,1551682800,70,43.36,76.86,46.4,4.47
Rocha,8,UY,1551685234,91,-34.48,-54.34,59.75,11.59
Galle,90,US,1551685231,69,29.74,-97.91,35.6,19.46
Lavrentiya,92,RU,1551685234,95,65.58,-170.99,30.01,32.5
Narok,0,KE,1551685235,82,-1.09,35.87,73.93,6.11
Port Macquarie,0,AU,1551684845,57,-31.43,152.91,81.0,18.34
Carnarvon,0,ZA,1551685235,34,-30.97,22.13,78.07,5.99
Okhotsk,0,RU,1551685236,100,59.36,143.24,6.43,5.84
Soligalich,68,RU,1551685236,92,59.08,42.29,16.87,5.77
Prado,44,BR,1551685236,96,-17.34,-39.22,82.16,11.43
Imeni Babushkina,8,RU,1551685237,80,59.76,43.13,11.29,4.38
Dunedin,0,NZ,1551685051,68,-45.87,170.5,64.99,4.0
Middelharnis,90,NL,1551685236,75,51.76,4.17,48.99,23.04
Antibes,75,FR,1551684938,65,43.58,7.11,54.0,10.29
Guerrero Negro,8,MX,1551685238,100,27.97,-114.04,54.71,12.77
Zhoucheng,20,CN,1551682800,47,31.35,119.33,59.0,6.71
Parkes,0,AU,1551685225,22,-33.14,148.18,93.0,1.01
Port Keats,36,AU,1551685238,69,-14.25,129.55,91.39,4.38
Pochutla,0,MX,1551684686,84,15.74,-96.47,73.0,3.83
Lamu,24,ID,1551685239,64,0.57,122.3,85.18,1.59
Karasburg,0,NA,1551685240,44,-28.01,18.75,77.17,5.06
Smithers,1,CA,1551682800,71,54.78,-127.17,3.2,3.36
Yendi,0,GH,1551685240,18,9.45,0.0,87.2,4.76
Kloulklubed,75,PW,1551682200,74,7.04,134.26,84.2,12.75
Egvekinot,76,RU,1551685241,91,66.32,-179.17,26.45,6.73
Gat,0,SN,1551682800,77,14.69,-16.54,60.8,14.99
Constantine,0,DZ,1551682800,93,36.36,6.61,37.4,3.27
Almaznyy,40,RU,1551682800,80,48.03,40.04,35.6,22.37
Nago,36,IT,1551685230,86,45.88,10.89,51.01,2.24
Baykit,80,RU,1551685242,85,61.68,96.39,22.58,9.24
Kingisepp,24,RU,1551685217,78,59.38,28.61,24.16,5.32
Ilhabela,92,BR,1551685242,100,-23.78,-45.36,80.18,3.6
Pontianak,40,ID,1551682800,49,-0.02,109.34,91.4,6.29
Llanelli,64,GB,1551685216,81,51.68,-4.16,46.0,16.11
Porto Velho,40,BR,1551682800,94,-8.75,-63.87,75.2,2.24
Westport,75,IE,1551684784,100,53.8,-9.52,42.01,6.93
Vao,68,EE,1551685244,88,59.1,26.19,25.28,4.32
Warwick,90,US,1551685237,99,41.7,-71.42,33.8,12.75
Pangnirtung,32,CA,1551685245,65,66.15,-65.72,-14.73,2.82
Dudinka,80,RU,1551685245,83,69.41,86.18,18.26,17.4
Kedrovyy,40,RU,1551682800,60,56.17,91.82,39.2,2.24
Nemuro,75,JP,1551682800,86,43.32,145.57,28.4,10.29
Njombe,64,TZ,1551685246,68,-9.34,34.77,77.44,4.72
Souillac,75,FR,1551685149,66,45.6,-0.6,52.0,23.04
Isla Mujeres,5,MX,1551684782,83,21.23,-86.73,75.2,6.93
Port Hawkesbury,20,CA,1551685242,85,45.62,-61.36,16.0,4.7
Aitape,80,PG,1551685247,94,-3.15,142.36,80.81,5.99
Bilma,0,NE,1551685248,25,18.69,12.92,72.31,12.26
Suntar,0,RU,1551685248,71,62.16,117.65,16.24,6.11
Aquiraz,75,BR,1551684584,88,-3.9,-38.39,77.0,3.36
Bandar,8,ID,1551685249,75,-4.2,104.14,85.72,7.52
Aksarayskiy,75,RU,1551682800,59,46.79,48.01,35.6,20.13
Avigliana,0,IT,1551685231,44,45.08,7.4,46.99,1.12
Belfast,0,GB,1551685102,86,54.6,-5.93,37.4,11.41
Ancud,20,CL,1551682800,100,-41.87,-73.83,44.6,4.7
Ilave,24,PE,1551685250,100,-16.09,-69.64,32.39,4.83
Salinopolis,80,BR,1551685250,100,-0.61,-47.36,77.75,7.9
Banff,0,CA,1551684842,64,51.18,-115.57,-2.01,2.19
Takoradi,12,GH,1551684708,91,4.89,-1.75,84.5,11.56
Victoria,75,BN,1551682800,70,5.28,115.24,86.0,10.29
Quirinopolis,64,BR,1551685312,96,-18.45,-50.45,70.28,3.71
Kiunga,80,PG,1551685312,86,-6.12,141.3,80.09,2.04
Namtsy,56,RU,1551682800,70,62.72,129.66,1.4,2.24
Muroto,75,JP,1551682800,44,33.37,134.14,60.8,17.22
Loganville,90,US,1551685002,80,33.84,-83.9,42.01,10.29
Nelson Bay,0,AU,1551685269,58,-32.72,152.14,82.4,16.11
Sangmelima,76,CM,1551685314,88,2.93,11.98,75.05,2.98
Nha Trang,20,VN,1551682800,46,12.24,109.19,89.6,11.41
Sylvan Lake,5,CA,1551682800,68,52.31,-114.09,-16.61,4.7
Poso,24,ID,1551685315,100,-1.4,120.75,82.16,3.09
Arrifes,75,PT,1551685271,77,37.77,-25.7,59.0,11.41
San Patricio,0,PY,1551685316,78,-26.98,-56.83,68.98,4.38
Lagoa,75,PT,1551685275,93,37.14,-8.45,57.0,2.24
Thompson,90,CA,1551682800,84,55.74,-97.86,6.8,9.17
El Salto,5,MX,1551681600,39,20.52,-103.18,64.4,2.53
Constitucion,0,MX,1551685317,65,23.99,-104.67,48.95,5.06
Lundazi,44,ZM,1551685318,62,-12.29,33.17,83.06,6.89
Aguimes,75,ES,1551685235,72,27.91,-15.45,62.6,13.87
Saint-Augustin,90,FR,1551685222,66,44.83,-0.61,53.6,16.11
Paso de Carrasco,0,UY,1551684734,72,-34.86,-56.05,72.0,12.75
Berlevag,75,NO,1551682200,79,70.86,29.09,24.8,28.86
Springdale,75,US,1551685315,71,36.19,-94.13,12.2,8.05
Olga,90,US,1551685309,76,34.11,-118.17,57.99,1.36
Mamontovo,0,RU,1551685320,95,52.71,81.63,35.41,12.15
Bujaru,0,BR,1551682800,100,-1.52,-48.04,73.4,4.7
Marsa Matruh,0,EG,1551685321,66,31.35,27.25,63.94,5.32
Woodstock,5,CA,1551685202,84,43.13,-80.75,17.01,5.82
Kyren,8,RU,1551685321,57,51.68,102.13,31.36,2.26
Bereznik,76,RU,1551685322,79,62.86,42.71,11.83,4.76
Hammerfest,90,NO,1551682560,85,70.66,23.68,19.4,34.45
Arlit,8,NE,1551685322,55,18.74,7.39,68.26,6.11
Kushima,40,JP,1551684786,55,31.5,131.29,60.8,17.22
Fortuna,0,ES,1551685050,70,38.18,-1.13,64.0,4.7
Straumen,75,NO,1551685215,79,63.87,11.3,30.0,9.17
Udaipur,0,IN,1551682800,31,24.58,73.69,77.0,5.82
Kahului,90,US,1551684983,68,20.89,-156.47,71.6,14.99
Port-Gentil,40,GA,1551682800,83,-0.72,8.78,78.8,5.82
Denpasar,40,ID,1551682800,74,-8.65,115.22,86.0,3.36
Anadyr,75,RU,1551684788,91,64.73,177.51,32.0,33.55
Teguise,40,ES,1551682800,77,29.06,-13.56,60.8,9.17
Burns Lake,0,CA,1551685326,61,54.23,-125.76,-4.87,2.08
Cherskiy,88,RU,1551685326,71,68.75,161.3,-2.49,7.29
Machalpur,0,IN,1551685326,38,24.13,76.3,81.89,11.77
Mahajanga,40,MG,1551682800,94,-15.72,46.32,73.4,2.24
Velten,20,DE,1551685284,76,52.69,13.18,51.01,13.87
Saint Anthony,1,US,1551685301,60,43.97,-111.68,14.0,9.17
Mildura,68,AU,1551682800,25,-34.18,142.16,89.6,5.82
Beyneu,36,KZ,1551685328,69,45.32,55.19,39.5,14.9
Vostok,48,RU,1551685328,51,46.45,135.83,29.92,3.87
Colinas,92,BR,1551685231,98,-6.03,-44.25,70.73,1.86
Praia da Vitoria,75,PT,1551683844,76,38.73,-27.07,57.99,21.83
Antalaha,44,MG,1551685329,100,-14.9,50.28,80.14,4.27
Tasquillo,20,MX,1551685329,82,20.55,-99.31,44.09,2.86
Sychevka,88,RU,1551685390,96,55.83,34.27,35.18,8.9
Plymouth,75,GB,1551685145,75,50.37,-4.14,44.6,16.11
Changchun,20,CN,1551682800,19,43.88,125.32,48.2,4.47
Hecun,32,CN,1551685391,71,29.94,119.31,54.8,2.48
Vanimo,44,PG,1551685391,98,-2.67,141.3,83.29,12.82
Finnsnes,75,NO,1551684638,85,69.23,17.98,19.4,25.28
Almeirim,20,PT,1551685388,93,39.21,-8.63,59.0,2.24
Alofi,56,NU,1551682800,88,-19.06,-169.92,77.0,12.75
Merrill,75,US,1551685324,86,42.03,-121.6,32.0,5.82
Zaozerne,48,UA,1551685392,94,51.37,23.94,48.14,18.41
Narsaq,80,GL,1551682200,54,60.91,-46.05,28.4,2.3
Lianzhou,92,CN,1551685393,92,24.79,112.38,60.88,2.48
Lujan,0,AR,1551685394,48,-46.57,-67.67,47.15,16.8
Camacha,40,PT,1551682800,87,33.08,-16.33,60.8,6.93
Hasaki,75,JP,1551684877,93,35.73,140.83,48.2,21.92
Xichang,88,CN,1551685394,23,27.88,102.25,59.89,3.49
Novo Aripuana,32,BR,1551685213,94,-5.12,-60.38,74.6,2.86
Sawtell,75,AU,1551682804,69,-30.38,153.1,81.0,10.29
Soria,8,ES,1551684666,85,41.76,-2.46,46.0,4.0
Fethiye,20,TR,1551682200,93,36.62,29.12,48.2,9.17
Edd,0,ER,1551685396,40,13.93,41.69,85.49,5.21
Mersing,0,MY,1551685342,62,2.43,103.84,87.11,11.14
Nongan,20,CN,1551682800,19,44.43,125.17,48.2,4.47
